Variable,Communality
iphlppl,0.5520908097294217
ipsuces,0.5293200755339517
iplylfr,0.5245194613265576
ipadvnt,0.49035971146842816
ipshabt,0.4777161617852745
impdiff,0.4561913382313313
ipbhprp,0.44994316843381843
ipudrst,0.44950130257875737
impenv,0.44497276786894624
impfun,0.4357556831339795
ipgdtim,0.4258169537087826
iprspot,0.4178100245391866
imprich,0.4032047789785265
impsafe,0.3999529924260942
ipeqopt,0.3951092887630043
ipstrgv,0.3943308297476138
impfree,0.3837416795097149
ipcrtiv,0.3465439862941977
ipmodst,0.32481704697829755
imptrad,0.3129606232064381
ipfrule,0.25726613232516715
