,Factor_1,Factor_2,Factor_3
ipcrtiv,0.4828436060146136,0.3261382313016959,0.08390406729356907
imprich,0.5548947049320294,-0.18367951768803054,0.24810981479743
ipeqopt,0.15941926245550378,0.573354202695342,0.20238514217386655
ipshabt,0.5731380977614262,0.05596503397901961,0.3822261080190827
impsafe,0.08243836349711431,0.3282416832845996,0.5342418048079957
impdiff,0.6033308942148338,0.29545788304722514,0.06991287193723743
ipfrule,0.09438257354257303,0.13651957772196968,0.4792916304665282
ipudrst,0.16166394566999498,0.6244185252857997,0.18294145656212918
ipmodst,-0.06953329872756756,0.4462782707411172,0.3475886540304192
ipgdtim,0.5739530796806843,0.3100609481738604,0.01603198214093746
impfree,0.3768339635984918,0.47535938051271087,0.12558384747624673
iphlppl,0.1829877794093533,0.6777217203162668,0.2435149936406698
ipsuces,0.6113250330286761,0.06091179944308255,0.38973264196759994
ipstrgv,0.15096471365778527,0.357088976389314,0.4939918500532865
ipadvnt,0.691566027415532,0.10076798195655033,-0.04406761855980141
ipbhprp,0.03542459552797889,0.3246883356342673,0.5858888556446068
iprspot,0.35512326693018526,0.05427908548355956,0.537355813872975
iplylfr,0.19473048685549463,0.6449875988001609,0.26568872051628833
impenv,0.1595992205992991,0.5895246429240945,0.2682565041863132
imptrad,0.04603830431198373,0.24398450065109656,0.5013109426140131
impfun,0.5922437931793268,0.29002425745541194,0.029814470680847856
